battery_power;clock_speed;dual_sim;int_memory;mobile_weight;n_cores;px_height;px_width;ram;talk_time;touch_screen;wifi;price_range
842;22;0;7;188;2;20;756;2549;19;0;1;1
1021;5;1;53;136;3;905;1988;2631;7;1;0;2
563;5;1;41;145;5;1263;1716;2603;9;1;0;2
615;25;0;10;131;6;1216;1786;2769;11;0;0;2
1821;12;0;44;141;2;1208;1212;1411;15;1;0;1
1859;5;1;22;164;1;1004;1654;1067;10;0;0;1
1821;17;0;10;139;8;381;1018;3220;18;0;1;3
1954;5;1;24;187;4;512;1149;700;5;1;1;0
1445;5;0;53;174;7;386;836;1099;20;0;0;0
509;6;1;9;93;5;1137;1224;513;12;0;0;0
769;29;1;9;182;5;248;874;3946;7;0;0;3
1520;22;0;33;177;8;151;1005;3826;13;1;1;3
1815;28;0;33;159;4;607;748;1482;2;0;0;1
803;21;0;17;198;4;344;1440;2680;4;0;1;2
1866;5;0;52;185;1;356;563;373;3;0;1;0
775;10;0;46;159;2;862;1864;568;11;1;1;0
838;5;0;13;196;8;984;1850;3554;19;0;1;3
595;9;1;23;121;3;441;810;3752;18;1;0;3
1131;5;1;49;101;5;658;878;1835;16;1;0;1
682;5;0;19;121;4;902;1064;2337;18;1;1;1
772;11;1;39;81;7;1314;1854;2819;3;1;0;3
1709;21;0;13;156;2;974;1385;3283;15;0;0;3
1949;26;1;47;199;4;407;822;1433;20;0;1;1
1602;28;1;38;114;3;466;788;1037;20;0;0;0
503;12;1;8;111;3;201;1245;2583;12;0;0;1
961;14;1;57;114;8;291;1434;2782;7;1;1;2
519;16;1;51;132;4;550;645;3763;4;0;1;3
956;5;0;41;143;7;511;1075;3286;12;1;0;3
1453;16;1;52;96;2;187;1311;2373;10;1;1;2
851;5;0;21;200;5;1171;1263;478;10;0;1;0
1579;5;1;5;88;7;1358;1739;3532;12;0;1;3
1568;5;0;33;150;8;413;654;508;6;1;1;0
1319;9;0;41;107;1;85;1152;2227;3;1;1;1
1310;22;1;51;100;4;178;1919;3845;12;1;0;3
644;27;0;22;157;8;311;881;1262;15;0;0;0
725;13;1;60;160;8;1134;1249;1326;15;0;0;1
589;23;1;61;160;4;429;815;2113;2;0;1;1
1725;16;1;6;119;2;609;1307;3429;4;1;0;3
790;20;1;11;87;6;347;730;3169;2;0;1;2
560;5;1;50;159;2;1448;1613;2150;11;1;0;2
1347;29;0;44;132;1;434;967;2484;11;0;1;2
1646;23;0;41;185;2;1725;1932;3339;19;1;0;3
1253;5;1;5;152;2;685;714;1878;4;1;0;1
1656;10;0;34;166;3;880;1456;1629;14;1;0;1
1195;28;0;20;110;2;1580;1652;504;12;1;0;0
1514;29;0;27;118;3;186;1810;1152;20;1;1;1
1723;11;1;42;164;8;202;1791;3587;3;0;0;3
1054;18;1;40;196;7;27;774;2296;12;0;1;1
578;26;1;57;162;8;1025;1433;1270;5;0;1;0
596;21;1;64;111;8;885;1854;3238;10;0;0;3
1547;30;1;14;198;3;1042;1832;2059;15;0;1;2
1760;14;1;63;127;8;1382;1383;2053;16;1;0;2
1654;15;1;43;109;2;546;629;3112;10;1;0;3
1457;19;1;16;102;3;1013;1287;1440;12;0;1;1
1073;5;1;51;145;7;690;804;2908;18;1;0;2
1936;21;1;46;104;3;667;1036;2552;13;0;0;2
823;27;1;60;148;8;822;1449;905;17;1;1;0
987;13;1;61;107;3;581;820;3963;20;0;1;3
1757;5;0;49;180;6;265;713;2056;4;0;0;1
1063;14;1;48;128;5;127;683;2910;9;1;1;2
1484;30;0;12;134;3;916;969;1457;20;1;0;1
799;23;0;63;144;8;361;975;431;6;1;1;0
1156;12;1;50;159;2;322;547;470;15;1;0;0
1720;20;0;55;168;2;753;1353;2148;5;1;1;2
